ad,ed,elect_dist
41,080,41080
45,007,45007
45,008,45008
45,009,45009
45,010,45010
45,011,45011
45,013,45013
45,014,45014
45,015,45015
45,016,45016
45,017,45017
45,019,45019
45,020,45020
45,021,45021
45,022,45022
45,023,45023
45,026,45026
45,027,45027
45,028,45028
45,029,45029
45,030,45030
45,031,45031
45,032,45032
45,033,45033
45,034,45034
45,035,45035
45,036,45036
45,037,45037
45,038,45038
45,040,45040
45,041,45041
45,042,45042
45,043,45043
45,044,45044
45,045,45045
45,046,45046
45,047,45047
45,048,45048
45,055,45055
45,057,45057
45,071,45071
45,076,45076
45,077,45077
46,031,46031
46,034,46034
46,035,46035
46,036,46036
46,037,46037
46,038,46038
46,039,46039
46,040,46040
46,041,46041
46,042,46042
46,047,46047
46,048,46048
46,049,46049
46,050,46050
46,051,46051
46,052,46052
46,053,46053
46,054,46054
46,055,46055
46,056,46056
46,057,46057
46,058,46058
46,059,46059
46,060,46060
46,061,46061
46,062,46062
46,063,46063
46,064,46064
46,065,46065
46,066,46066
46,067,46067
46,068,46068
46,069,46069
46,070,46070
46,071,46071
46,072,46072
46,074,46074
46,075,46075
46,076,46076
46,077,46077
46,078,46078
46,079,46079
46,082,46082
46,083,46083
47,001,47001
47,002,47002
47,005,47005
47,006,47006
47,007,47007
47,008,47008
47,009,47009
47,011,47011
47,012,47012
47,013,47013
47,014,47014
47,015,47015
47,016,47016
47,017,47017
47,018,47018
47,019,47019
47,032,47032
47,038,47038
47,041,47041
47,048,47048
47,049,47049
47,053,47053
47,054,47054
47,055,47055
47,056,47056
47,057,47057
47,058,47058
47,059,47059
47,060,47060
47,061,47061
47,062,47062
47,063,47063
47,064,47064
47,065,47065
47,066,47066
47,067,47067
47,068,47068
47,071,47071
49,036,49036
49,044,49044
49,045,49045
49,047,49047
49,048,49048
49,049,49049
49,050,49050
49,051,49051
49,052,49052
49,053,49053
49,054,49054
49,063,49063
49,065,49065
49,071,49071
51,059,51059
51,076,51076
64,075,64075
64,076,64076
64,077,64077
64,078,64078
64,079,64079
64,080,64080
64,081,64081
64,083,64083
64,084,64084
64,085,64085
64,086,64086
64,087,64087
64,088,64088
64,089,64089
64,090,64090
64,091,64091
64,092,64092
64,093,64093
64,086,64086
64,098,64098
64,099,64099
61,001,61001
61,002,61002
61,003,61003
61,004,61004
61,005,61005
61,006,61006
61,007,61007
61,008,61008
61,009,61009
61,010,61010
61,011,61011
61,012,61012
61,013,61013
61,014,61014
61,015,61015
61,016,61016
61,017,61017
61,018,61018
61,019,61019
61,020,61020
61,021,61021
61,022,61022
61,023,61023
61,024,61024
61,025,61025
61,026,61026
61,027,61027
61,028,61028
61,029,61029
61,030,61030
61,031,61031
61,032,61032
61,033,61033
61,034,61034
61,035,61035
61,036,61036
61,037,61037
61,038,61038
61,039,61039
61,040,61040
61,041,61041
61,042,61042
61,043,61043
61,044,61044
61,045,61045
61,046,61046
61,047,61047
61,048,61048
61,049,61049
61,050,61050
61,051,61051
61,052,61052
61,053,61053
61,054,61054
61,055,61055
61,056,61056
61,057,61057
61,058,61058
61,059,61059
61,060,61060
61,061,61061
61,062,61062
61,063,61063
61,064,61064
61,065,61065
61,066,61066
61,067,61067
61,068,61068
61,069,61069
61,070,61070
61,071,61071
61,072,61072
61,073,61073
61,074,61074
61,075,61075
61,076,61076
61,077,61077
61,078,61078
61,079,61079
62,001,62001
62,002,62002
62,003,62003
62,004,62004
62,005,62005
62,006,62006
62,007,62007
62,008,62008
62,009,62009
62,010,62010
62,011,62011
62,012,62012
62,013,62013
62,014,62014
62,015,62015
62,016,62016
62,017,62017
62,018,62018
62,019,62019
62,020,62020
62,021,62021
62,022,62022
62,023,62023
62,024,62024
62,025,62025
62,026,62026
62,027,62027
62,028,62028
62,029,62029
62,030,62030
62,031,62031
62,032,62032
62,033,62033
62,034,62034
62,035,62035
62,036,62036
62,037,62037
62,038,62038
62,039,62039
62,040,62040
62,041,62041
62,042,62042
62,043,62043
62,044,62044
62,045,62045
62,046,62046
62,047,62047
62,048,62048
62,049,62049
62,050,62050
62,051,62051
62,052,62052
62,053,62053
62,054,62054
62,055,62055
62,056,62056
62,057,62057
62,058,62058
62,059,62059
62,060,62060
62,061,62061
62,062,62062
62,063,62063
62,064,62064
62,065,62065
62,066,62066
62,067,62067
62,068,62068
62,069,62069
62,070,62070
62,071,62071
62,072,62072
62,073,62073
62,074,62074
62,075,62075
62,076,62076
62,077,62077
62,078,62078
62,079,62079
62,080,62080
62,081,62081
62,082,62082
62,083,62083
62,084,62084
62,085,62085
62,086,62086
62,087,62087
62,088,62088
63,001,63001
63,002,63002
63,003,63003
63,004,63004
63,005,63005
63,006,63006
63,007,63007
63,008,63008
63,009,63009
63,010,63010
63,011,63011
63,012,63012
63,013,63013
63,014,63014
63,015,63015
63,016,63016
63,017,63017
63,018,63018
63,019,63019
63,020,63020
63,021,63021
63,022,63022
63,023,63023
63,024,63024
63,025,63025
63,026,63026
63,027,63027
63,028,63028
63,029,63029
63,030,63030
63,031,63031
63,032,63032
63,033,63033
63,034,63034
63,035,63035
63,036,63036
63,037,63037
63,038,63038
63,039,63039
63,040,63040
63,041,63041
63,042,63042
63,043,63043
63,044,63044
63,045,63045
63,046,63046
63,047,63047
63,048,63048
63,049,63049
63,050,63050
63,051,63051
63,052,63052
63,053,63053
63,054,63054
63,055,63055
63,056,63056
63,057,63057
63,058,63058
63,059,63059
63,060,63060
63,061,63061
63,062,63062
63,063,63063
63,064,63064
63,065,63065
63,066,63066
63,067,63067
63,068,63068
63,069,63069
63,070,63070
63,071,63071
63,072,63072
63,073,63073
63,074,63074
63,075,63075
63,076,63076
63,077,63077
63,078,63078
63,079,63079
63,080,63080
63,081,63081
63,082,63082
63,083,63083
63,084,63084
63,085,63085
63,086,63086
63,087,63087
63,088,63088
63,089,63089
63,090,63090
64,001,64001
64,002,64002
64,003,64003
64,004,64004
64,005,64005
64,006,64006
64,007,64007
64,008,64008
64,009,64009
64,010,64010
64,011,64011
64,012,64012
64,013,64013
64,014,64014
64,015,64015
64,016,64016
64,017,64017
64,018,64018
64,019,64019
64,020,64020
64,021,64021
64,022,64022
64,023,64023
64,024,64024
64,025,64025
64,026,64026
64,027,64027
64,028,64028
64,029,64029
64,030,64030
64,031,64031
64,032,64032
64,033,64033
64,034,64034
64,035,64035
64,036,64036
64,037,64037
64,038,64038
64,039,64039
64,040,64040
64,041,64041
64,042,64042
64,043,64043
64,044,64044
64,045,64045
64,046,64046
64,047,64047
64,048,64048
64,049,64049
64,050,64050
64,051,64051
64,052,64052
64,053,64053
64,054,64054
64,055,64055
64,056,64056
64,057,64057
64,058,64058
64,059,64059
64,060,64060
64,061,64061
64,062,64062
64,063,64063
64,064,64064
64,065,64065
64,066,64066
64,067,64067
64,068,64068
64,069,64069
64,070,64070
